organization_id,sales_order,date_create,status,code,client_id,tvz_id,cost_price,price_b2b_gross,price_b2c_gross,quantity
1,2051017075,2022-06-01T21:39:08.135,0,60567,22899,555,116.88,152.09,162.73,2
1,2051017076,2022-06-01T21:39:08.558,0,60918,29039,1214,18.65,32.23,34.49,50
1,2051017077,2022-06-01T21:39:08.975,0,43837,12706,196,1162.82,1471.69,1582.06,1
2,2051017078,2022-06-01T21:39:09.233,0,50007,15110,2677,91.55,138.34,148.72,2
8,2051017079,2022-06-01T21:50:02.559,0,59354,11956,5333,1150.54,1211.27,1291.08,1
1,2051017080,2022-06-01T21:50:02.981,0,19463,42882,733,18.97,61.99,76.52,1
1,2051017080,2022-06-01T21:50:02.981,0,65188,42882,733,41.56,66.72,84.06,2
1,2051017080,2022-06-01T21:50:02.981,0,61542,42882,733,13.47,34.25,36.64,1
1,2051017080,2022-06-01T21:50:02.981,0,47617,42882,733,10.78,22.06,23.71,1
1,2051017080,2022-06-01T21:50:02.981,0,3157,42882,733,390.96,449.21,480.65,1
5,2051017081,2022-06-01T21:50:03.670,0,21666,50346,3178,1281.55,1459.63,1601.46,3
2,2051017082,2022-06-01T22:01:02.588,0,46843,12991,2649,2568.26,3097.76,3330.09,1
1,2051017083,2022-06-01T22:12:03.333,0,9638,50444,1262,914.01,1129.83,1214.57,1
1,2051017084,2022-06-01T22:23:02.182,0,57588,31695,585,112.78,130.91,153.03,4
5,2051017085,2022-06-01T22:23:02.691,0,66019,11623,4033,273.97,518.71,555.02,1
1,2051017086,2022-06-01T22:23:03.334,0,54462,25624,732,401.17,454.14,488.20,2
1,2051017086,2022-06-01T22:23:03.334,0,66234,25624,732,120.91,142.37,155.19,6
1,2051017086,2022-06-01T22:23:03.334,0,56325,25624,732,127.83,152.13,164.89,3
5,2051017087,2022-06-01T22:34:03.253,0,20282,1913,4011,720.69,871.18,936.52,1
1,2051017088,2022-06-01T22:45:02.671,0,46980,58369,725,386.70,510.28,548.55,1
5,2051017089,2022-06-01T22:55:02.895,0,47051,65573,3499,590.85,641.61,689.73,1
5,2051017089,2022-06-01T22:55:02.895,0,46133,65573,3499,461.32,541.36,581.96,1
1,2051017090,2022-06-01T23:06:06.687,0,48552,23351,1038,387.67,485.21,521.61,1
1,2051017091,2022-06-01T23:17:02.427,0,39692,14471,476,4349.76,4736.85,5068.42,1
1,2051017092,2022-06-01T23:17:02.962,0,60016,3418,362,7.81,31.08,33.41,4
1,2051017092,2022-06-01T23:17:02.962,0,18430,3418,362,17.91,46.11,49.57,2
1,2051017093,2022-06-01T23:28:07.076,0,56875,22668,269,193.59,289.73,311.46,1
1,2051017094,2022-06-01T23:50:01.976,0,59343,2676,1143,24.00,62.15,66.82,1
1,2051017094,2022-06-01T23:50:01.976,0,19849,2676,1143,14.97,18.94,22.63,1
1,2051017094,2022-06-01T23:50:01.976,0,48176,2676,1143,578.52,651.65,697.27,1
1,2051017094,2022-06-01T23:50:01.976,0,30,2676,1143,19.24,39.40,48.50,2
1,2051017094,2022-06-01T23:50:01.976,0,44692,2676,1143,65.59,97.24,104.54,1
2,2051017095,2022-06-02T00:11:03.192,0,55441,56673,1857,109.01,127.38,140.10,2
2,2051017096,2022-06-02T00:22:02.981,0,59683,15109,2495,67.40,75.54,80.83,3
1,2051017097,2022-06-02T00:54:02.437,0,46979,24188,1050,378.28,510.28,548.55,2
1,2051017098,2022-06-02T00:54:02.807,1,56907,4700,983,857.01,1121.81,1205.95,1
2,2051017099,2022-06-02T02:09:02.245,0,54410,24616,2370,86.83,110.96,123.94,2
1,2051017100,2022-06-02T05:49:01.966,0,45421,67646,234,3163.05,3421.46,3668.49,2
5,2051017101,2022-06-02T06:20:02.625,0,56239,55616,3777,805.53,918.01,985.02,1
1,2051017102,2022-06-02T06:31:03.224,0,59343,29091,1563,24.00,62.27,66.82,1
1,2051017102,2022-06-02T06:31:03.224,0,64991,29091,1563,389.59,500.58,535.62,1
2,2051017103,2022-06-02T07:12:02.973,0,3485,57995,2703,192.54,239.70,256.49,4
1,2051017104,2022-06-02T07:33:01.859,0,476,70452,910,320.80,485.47,519.45,3
1,2051017105,2022-06-02T07:33:02.224,0,63909,25610,476,1591.50,1896.86,2030.39,1
13,2051017106,2022-06-02T07:53:07.487,0,27440,20852,7173,566.07,772.37,828.75,1
13,2051017107,2022-06-02T08:14:02.824,0,54744,41704,7003,209.70,316.38,339.48,1
13,2051017107,2022-06-02T08:14:02.824,0,3845,41704,7003,324.20,334.45,358.87,1
13,2051017107,2022-06-02T08:14:02.824,0,11875,41704,7003,161.99,215.54,230.63,1
1,2051017108,2022-06-02T08:14:03.495,0,22451,2130,1577,1767.08,2053.96,2203.90,1
1,2051017109,2022-06-02T08:14:04.061,0,1738,67868,1128,83.65,103.69,119.62,1
1,2051017109,2022-06-02T08:14:04.061,0,10674,67868,1128,76.60,101.44,108.85,1
1,2051017110,2022-06-02T08:14:04.566,0,57238,66983,662,304.57,365.60,392.28,1
13,2051017111,2022-06-02T08:14:05.022,0,19400,7907,7654,267.77,331.45,355.64,1
5,2051017112,2022-06-02T08:14:05.459,0,1391,54848,3882,539.57,636.78,683.26,1
1,2051017113,2022-06-02T08:25:01.938,0,59894,656,617,1812.95,2096.03,2243.77,1
1,2051017114,2022-06-02T08:25:02.380,0,57194,32642,312,3337.29,3808.54,4094.18,1
2,2051017115,2022-06-02T08:35:02.698,0,11610,36547,2703,391.85,417.13,447.25,1
1,2051017116,2022-06-02T08:35:03.295,0,37601,14913,896,136.24,164.42,177.82,1
1,2051017116,2022-06-02T08:35:03.295,0,66284,14913,896,318.71,386.69,414.91,1
1,2051017116,2022-06-02T08:35:03.295,0,61588,14913,896,252.59,236.03,253.26,1
5,2051017117,2022-06-02T08:46:02.048,0,52320,18192,3833,570.01,652.92,701.58,1
1,2051017118,2022-06-02T08:46:02.472,0,38585,656,617,217.68,262.25,288.82,1
8,2051017119,2022-06-02T08:57:01.965,0,27161,33938,5443,157.10,182.80,196.14,2
1,2051017120,2022-06-02T08:57:02.447,0,56641,63264,842,257.92,286.04,306.07,1
5,2051017121,2022-06-02T08:57:03.032,0,44389,38379,4081,1303.96,1472.42,1579.91,1
5,2051017121,2022-06-02T08:57:03.032,0,56601,38379,4081,445.13,508.67,595.97,1
5,2051017121,2022-06-02T08:57:03.032,0,46762,38379,4081,581.46,676.70,727.45,1
5,2051017121,2022-06-02T08:57:03.032,0,18073,38379,4081,689.31,787.43,844.92,1
5,2051017122,2022-06-02T09:08:03.095,0,6980,38056,3709,1162.82,1533.69,1645.65,1
1,2051017123,2022-06-02T09:08:03.735,2,41094,43069,464,308.53,399.74,428.92,1
1,2051017123,2022-06-02T09:08:03.735,2,188,43069,464,189.41,234.02,251.10,1
8,2051017124,2022-06-02T09:19:14.096,0,19479,33971,5637,198.24,225.62,241.40,1
1,2051017125,2022-06-02T09:19:14.560,0,22104,28815,1643,238.66,228.94,246.79,2
1,2051017126,2022-06-02T09:19:15.188,0,4056,45480,80,793.70,1291.63,1385.92,1
1,2051017127,2022-06-02T09:19:15.525,0,41948,45039,1345,172.19,231.00,247.87,4
1,2051017129,2022-06-02T09:30:05.034,0,58847,69278,716,217.21,283.03,302.83,1
1,2051017131,2022-06-02T09:52:03.194,0,57597,10877,911,95.82,116.12,126.09,4
5,2051017132,2022-06-02T09:52:03.650,0,47922,39395,4167,403.85,483.11,518.37,1
1,2051017133,2022-06-02T10:03:02.711,0,65610,854,815,420.14,577.12,617.52,1
1,2051017133,2022-06-02T10:03:02.711,0,61762,854,815,751.44,795.59,851.38,1
2,2051017128,2022-06-02T10:14:02.231,0,14692,53038,2510,185.59,241.05,252.18,1
2,2051017128,2022-06-02T10:14:02.231,0,16403,53038,2510,96.86,117.81,135.79,1
2,2051017130,2022-06-02T10:14:02.969,0,12124,24828,1807,1609.69,1849.06,2128.46,1
1,2051017134,2022-06-02T10:14:03.517,0,38688,25779,566,1158.04,1291.63,1385.92,6
1,2051017134,2022-06-02T10:14:03.517,0,47772,25779,566,51.09,85.08,105.61,1
1,2051017134,2022-06-02T10:14:03.517,0,66340,25779,566,1555.42,1959.00,2096.13,1
1,2051017134,2022-06-02T10:14:03.517,0,20264,25779,566,985.97,1348.88,1447.35,1
1,2051017135,2022-06-02T10:14:04.320,0,60871,3926,362,595.90,778.56,833.06,1
8,2051017136,2022-06-02T10:25:02.892,0,22882,50121,5207,63.75,114.49,122.86,1
8,2051017136,2022-06-02T10:25:02.892,0,22896,50121,5207,71.87,104.75,112.08,1
13,2051017137,2022-06-02T10:36:02.344,0,49837,51950,7363,199.32,247.07,265.11,2
13,2051017137,2022-06-02T10:36:02.344,0,58868,51950,7363,4077.18,4826.73,5140.63,2
8,2051017138,2022-06-02T10:46:04.017,0,37336,13504,5767,1158.02,1319.75,1416.10,1
1,2051017139,2022-06-02T10:46:04.394,0,53371,58505,788,48.63,86.38,92.68,4
2,2051017140,2022-06-02T10:57:03.024,0,51476,24830,1871,1127.23,1095.47,1173.62,1
5,2051017141,2022-06-02T11:08:03.320,0,2353,56420,3695,400.92,453.98,487.12,1
13,2051017142,2022-06-02T11:18:05.472,0,58868,51950,7362,4077.18,4826.73,5140.63,1
1,2051017143,2022-06-02T11:18:06.042,3,3845,64914,1200,324.20,348.52,373.96,4
1,2051017144,2022-06-02T11:18:06.427,3,209,14205,714,361.19,455.99,489.28,2
1,2061089063,2022-06-02T11:21:21.257,3,39422,72996,342,166.99,263.15,255.41,1
2,2051017145,2022-06-02T11:29:07.830,0,1391,37025,2361,539.57,650.83,698.35,1
5,2051017146,2022-06-02T11:29:08.335,0,57564,54703,3239,824.95,1000.36,1073.39,1
1,2051017147,2022-06-02T11:29:08.721,3,11233,30042,842,908.23,1018.28,1089.55,2
